# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	15370
#@/user_id	18d226a2-3005-45e4-94cb-81c4e0a458f1
a li yun 	阿里云	c=10 d=1.00506 t=15207
an dao li 	按道理	c=2 d=1.99501 t=11943
an li 	案例	c=11 d=1.11626 t=15370
an niu 	按钮	c=4 d=0.106992 t=15370
an pai 	安排	c=1 d=0.442639 t=15370
an quan 	安全	c=32 d=2.12194 t=15370
an quan xing 	安全性	c=1 d=0.814647 t=15370
an xia 	按下	c=2 d=0.105927 t=15370
an zhao 	按照	c=9 d=1.21817 t=15370
an zhuang 	安装	c=8 d=0.70188 t=15370
ba 	吧	c=6 d=0.985112 t=15370
ba 	把	c=79 d=2.0818 t=15370
ba gu wen 	八股文	c=1 d=2.01965e-05 t=15370
ba ta 	把他	c=2 d=0.767206 t=15370
ba ta 	把它	c=2 d=0.364219 t=15370
bai he 	白盒	c=1 d=0.0611149 t=15370
bai he ce shi 	白盒测试	c=2 d=0.0223785 t=15370
bai piao 	白嫖	c=1 d=1 t=14208
bai tian 	白天	c=1 d=1 t=15259
ban 	版	c=0 d=0.0261846 t=15370
ban ben 	版本	c=17 d=1.15557 t=15370
ban ben hao 	版本号	c=2 d=0.219808 t=15370
ban bu ban 	办不办	c=1 d=0.232236 t=15370
ban fa 	办法	c=1 d=1 t=12496
ban shuang gong 	半双工	c=1 d=1 t=14569
ban xiao shi 	半小时	c=2 d=1.97531 t=15302
bang ding 	绑定	c=2 d=1.06822 t=14252
bang ka 	绑卡	c=1 d=1 t=14288
bang wo 	帮我	c=15 d=2.18843 t=15370
bang zhu 	帮助	c=1 d=1 t=12427
bao 	包	c=4 d=1.20527 t=13910
bao 	报	c=1 d=1 t=14587
bao chi 	保持	c=2 d=0.0102549 t=15370
bao cun 	保存	c=14 d=0.880688 t=15370
bao cuo 	报错	c=2 d=0.852144 t=15370
bao guo 	包裹	c=15 d=2.34824 t=15370
bao han 	包含	c=16 d=1.88359 t=15370
bao hao 	保号	c=1 d=0.128093 t=15370
bao kuo 	包括	c=1 d=1 t=13244
bao li 	暴力	c=5 d=0.695738 t=15370
bao liu 	保留	c=6 d=0.167797 t=15370
bao rong 	包容	c=1 d=1 t=13992
bao tou 	包头	c=1 d=1 t=13414
bao tou 	报头	c=2 d=1.88692 t=13384
bao zhang 	保障	c=4 d=0.383141 t=15370
bao zheng 	保证	c=13 d=1.15572 t=15370
bei 	背	c=1 d=0.970446 t=15370
bei 	被	c=11 d=1.39054 t=15370
bei dang 	被挡	c=0 d=0.022091 t=15370
bei dang zu 	被挡组	c=1 d=0.222017 t=15370
bei fen 	备份	c=11 d=5.04342 t=15370
bei guan suo 	悲观锁	c=2 d=4.73196e-05 t=15370
bei jing 	背景	c=10 d=0.639725 t=15370
bei song 	背诵	c=1 d=0.873716 t=15370
bei yong 	备用	c=0 d=4.78593e-09 t=15370
bei yong liu 	备用流	c=3 d=1.85205e-07 t=15370
ben 	本	c=1 d=0.256661 t=15370
ben di 	本地	c=2 d=1.5599 t=13869
ben lun 	本轮	c=3 d=0.313401 t=15370
beng dai 	绷带	c=6 d=1.2616 t=15370
beng kui 	崩溃	c=6 d=2.63375 t=15370
bi 	比	c=4 d=0.0170774 t=15370
bi bei 	必备	c=1 d=0.66365 t=15370
bi ji 	笔记	c=1 d=0.255381 t=15370
bi ji ben 	笔记本	c=4 d=1.05473 t=15370
bi jiao 	比较	c=26 d=1.52453 t=15370
bi jiao duo 	比较多	c=1 d=0.0466538 t=15370
bi jiao hao 	比较好	c=1 d=0.0439369 t=15370
bi jiao shao 	比较少	c=1 d=9.35285e-08 t=15370
bi jiao xiao 	比较小	c=1 d=1.71245e-05 t=15370
bi jing 	毕竟	c=1 d=0.0944202 t=15370
bi kai 	避开	c=1 d=1 t=14232
bi mian 	避免	c=3 d=0.13068 t=15370
bi ru 	比如	c=52 d=5.10021 t=15370
bi te 	比特	c=1 d=1 t=11895
bi xu 	必须	c=7 d=0.201331 t=15370
bi yao 	必要	c=1 d=0.0118551 t=15370
bi zi 	鼻子	c=1 d=0.18452 t=15370
bian cheng 	变成	c=1 d=0.0578443 t=15370
bian cheng 	编程	c=3 d=0.478803 t=15370
bian de 	变得	c=1 d=0.88692 t=15370
bian geng 	变更	c=2 d=0.331211 t=15370
bian hao 	编号	c=1 d=0.0141223 t=15370
bian hua 	变化	c=8 d=1.02568 t=15370
bian hui qu 	变回去	c=2 d=0.00317063 t=15370
bian ji kuang 	编辑框	c=2 d=1.9802 t=11914
bian jie 	便捷	c=0 d=0.0261846 t=15370
bian jie 	边界	c=5 d=1.02363 t=15370
bian jie ban 	便捷版	c=5 d=0.653786 t=15370
bian jie wen ti 	边界问题	c=1 d=0.348192 t=15370
bian jie zhi 	边界值	c=1 d=0.145148 t=15370
bian kuang 	边框	c=2 d=0.900325 t=15370
bian lai 	变来	c=1 d=0.790571 t=15370
bian li 	遍历	c=10 d=1.1822 t=15370
bian liang 	变量	c=17 d=3.11958 t=15370
bian ma 	编码	c=5 d=0.660962 t=15370
bian wei 	变为	c=23 d=1.339 t=15370
bian xie 	编写	c=14 d=1.5351 t=15370
bian yi 	编译	c=1 d=0.346456 t=15370
bian yi qi 	编译器	c=3 d=0.084163 t=15370
biao 	表	c=11 d=1.61045 t=15370
biao da 	表达	c=1 d=1.44473e-05 t=15370
biao da shi 	表达式	c=3 d=0.216536 t=15370
biao fa 	表法	c=1 d=0.146607 t=15370
biao ge 	表格	c=1 d=3.58114e-08 t=15370
biao ji 	标记	c=6 d=0.000620164 t=15370
biao ming 	表明	c=1 d=0.000141247 t=15370
biao qian 	标签	c=4 d=0.311923 t=15370
biao shi 	表示	c=20 d=0.216536 t=15370
biao ti 	标题	c=4 d=0.865193 t=15370
biao ti chu 	标题处	c=1 d=0.548812 t=15370
biao zhun 	标准	c=2 d=0.918512 t=15370
biao zhun ku 	标准库	c=2 d=5.3723e-07 t=15370
bie 	别	c=3 d=0.336216 t=15370
bie ba 	别把	c=1 d=0.0871609 t=15370
bie gao su 	别告诉	c=1 d=8.44239e-09 t=15370
bie ren 	别人	c=1 d=0.97531 t=15370
bing 	并	c=7 d=0.491644 t=15370
bing chong qi 	并重启	c=1 d=0.0295994 t=15370
bing fa 	并发	c=2 d=0.913931 t=15370
bing geng xin 	并更新	c=1 d=0.360595 t=15370
bing qie 	并且	c=12 d=1.01255 t=15370
bing shi yong 	并使用	c=1 d=7.52526e-09 t=15370
bing ti gong 	并提供	c=1 d=1 t=13273
bing yan zheng 	并验证	c=1 d=0.00228818 t=15370
bo fang 	播放	c=2 d=3.43645e-08 t=15370
bo fang qi 	播放器	c=1 d=1 t=11897
bo ke 	博客	c=3 d=0.798516 t=15370
bu 	不	c=13 d=0.393476 t=15370
bu 	步	c=6 d=0.690368 t=15370
bu an 	不安	c=1 d=0.22091 t=15370
bu an 	不按	c=1 d=0.224249 t=15370
bu an quan 	不安全	c=3 d=0.0591259 t=15370
bu bao cun 	不保存	c=1 d=1 t=14513
bu bao han 	不包含	c=2 d=0.355107 t=15370
bu bao kuo 	不包括	c=1 d=1 t=14287
bu bi 	不必	c=1 d=0.329559 t=15370
bu bian 	不变	c=2 d=0.650509 t=15370
bu chang 	步长	c=1 d=0.26054 t=15370
bu chang yong 	不常用	c=1 d=0.0234005 t=15370
bu chao guo 	不超过	c=1 d=0.283654 t=15370
bu chong 	补充	c=3 d=0.603506 t=15370
bu chu lai 	不出来	c=3 d=0.88692 t=15370
bu chu li 	不处理	c=1 d=0.900325 t=15370
bu cun huo 	不存活	c=1 d=0.268474 t=15370
bu cun zai 	不存在	c=2 d=1.39716e-08 t=15370
bu cuo 	不错	c=1 d=1 t=13896
bu dao 	不到	c=2 d=0.540641 t=15370
bu deng 	不等	c=2 d=0.371577 t=15370
bu deng lu 	不登录	c=1 d=6.59084e-08 t=15370
bu deng yu 	不等于	c=1 d=0.115903 t=15370
bu diao 	不掉	c=0 d=0.0344728 t=15370
bu dui 	不对	c=2 d=1 t=14725
bu fen 	部分	c=4 d=0.558727 t=15370
bu geng xin 	不更新	c=1 d=0.323033 t=15370
bu gou 	不够	c=2 d=0.292293 t=15370
bu guan 	不管	c=4 d=1.19516 t=14456
bu guo 	不过	c=2 d=0.225373 t=15370
bu hao 	不好	c=1 d=2.03538e-08 t=15370
bu he fa 	不合法	c=1 d=1 t=12381
bu he li 	不合理	c=1 d=0.343009 t=15370
bu hui 	不会	c=26 d=1.29464 t=15370
bu hui bian 	不会变	c=1 d=1 t=12708
bu jia 	不加	c=2 d=0.0195717 t=15370
bu jia suo 	不加锁	c=1 d=0.0198411 t=15370
bu jian rong 	不兼容	c=1 d=1 t=13077
bu jian yi 	不建议	c=3 d=6.29198e-06 t=15370
bu jin jin 	不仅仅	c=1 d=0.2334 t=15370
bu ke 	不可	c=2 d=0.928414 t=15370
bu ke chong fu du 	不可重复读	c=4 d=0.899155 t=15370
bu ke chong ru 	不可重入	c=2 d=0.00900478 t=15370
bu ke kao 	不可靠	c=2 d=1.54064 t=13575
bu ke neng 	不可能	c=1 d=1.28136e-05 t=15370
bu ke ni 	不可逆	c=1 d=0.000243596 t=15370
bu liao 	不了	c=7 d=0.860768 t=15370
bu man zu 	不满足	c=4 d=1.43902e-05 t=15370
bu neng 	不能	c=80 d=3.78625 t=15370
bu neng zhi chi 	不能支持	c=1 d=9.14242e-05 t=15370
bu pi pei 	不匹配	c=3 d=0.720911 t=15370
bu qi 	不起	c=1 d=0.316637 t=15370
bu qi zuo yong 	不起作用	c=2 d=0.168945 t=15370
bu qing chu 	不清楚	c=2 d=0.062662 t=15370
bu que ding 	不确定	c=1 d=1 t=13269
bu ran 	不然	c=5 d=0.701173 t=15370
bu shao 	不少	c=2 d=0.392185 t=15370
bu sheng xiao 	不生效	c=2 d=0.202535 t=15370
bu shi 	不是	c=23 d=1.20674 t=15370
bu shu 	部署	c=3 d=0.619413 t=15370
bu tai 	不太	c=3 d=0.767206 t=15370
bu tai gao 	不太高	c=1 d=0.477114 t=15370
bu tai hao 	不太好	c=4 d=1.29736 t=15370
bu ti gong 	不提供	c=1 d=1 t=12741
bu tong 	不同	c=24 d=1.83252 t=15370
bu tong 	不通	c=1 d=1 t=13018
bu tong bu yang 	不痛不痒	c=1 d=1 t=15317
bu tong de 	不同的	c=1 d=0.501576 t=15370
bu tui jian 	不推荐	c=2 d=0.0478659 t=15370
bu wen ding 	不稳定	c=1 d=0.128735 t=15370
bu xian shi 	不显示	c=1 d=0.0862936 t=15370
bu xiang 	不想	c=2 d=0.585669 t=15370
bu xiang deng 	不相等	c=2 d=0.375311 t=15370
bu xiang xi 	不想洗	c=1 d=0.319819 t=15370
bu xing 	不行	c=2 d=0.0575558 t=15370
bu xiu 	不修	c=1 d=0.985112 t=15370
bu xiu gai 	不修改	c=2 d=0.588605 t=15370
bu xu yao 	不需要	c=23 d=1.9265 t=15370
bu yao 	不要	c=21 d=0.96136 t=15370
bu yao qiu 	不要求	c=2 d=0.471498 t=15370
bu yi ding 	不一定	c=4 d=0.100821 t=15370
bu yi yang 	不一样	c=2 d=0.00187028 t=15370
bu ying xiang 	不影响	c=2 d=0.34047 t=15370
bu yong 	不用	c=3 d=0.649126 t=15370
bu yun xing 	不运行	c=1 d=0.0203434 t=15370
bu zai 	不再	c=2 d=1.30422 t=14381
bu zheng chang 	不正常	c=1 d=0.810584 t=15370
bu zhi 	不止	c=1 d=1 t=13006
bu zhi chi 	不支持	c=7 d=0.418929 t=15370
bu zhong yao 	不重要	c=1 d=2.00507e-08 t=15370
bu zhou 	步骤	c=13 d=0.765278 t=15370
bu zi you 	不自由	c=2 d=1.9802 t=14321
bu zou 	不走	c=1 d=0.690734 t=15370
bu zu 	不足	c=2 d=0.0473589 t=15370
cai 	才	c=5 d=0.571634 t=15370
cai ce 	猜测	c=1 d=0.186374 t=15370
cai ce fa 	猜测法	c=1 d=0.148823 t=15370
cai chu xian 	才出现	c=1 d=1 t=14808
cai hui 	才会	c=2 d=0.183599 t=15370
cai hui you 	才会有	c=1 d=4.21195e-05 t=15370
cai ke yi 	才可以	c=1 d=0.13068 t=15370
cai neng 	才能	c=12 d=0.886126 t=15370
cai qu 	采取	c=1 d=1 t=13559
cai shi 	才是	c=1 d=0.937067 t=15370
cai suan 	才算	c=1 d=1 t=15261
cai yong 	采用	c=1 d=0.265803 t=15370
cai zhai 	采摘	c=3 d=0.669869 t=15370
can kao 	参考	c=3 d=0.357007 t=15370
can shu 	参数	c=11 d=0.0299465 t=15370
can yu 	参与	c=2 d=0.000254945 t=15370
cang ku 	仓库	c=1 d=0.690734 t=15370
cao zuo 	操作	c=12 d=0.695539 t=15370
cao zuo xi tong 	操作系统	c=3 d=0.205975 t=15370
ce chu 	测出	c=1 d=5.91857e-07 t=15370
ce lve 	策略	c=4 d=0.0222813 t=15370
ce ping 	测评	c=2 d=0.704688 t=15370
ce shi 	测试	c=182 d=10.2267 t=15370
ce shi kai fa gong cheng shi 	测试开发工程师	c=0 d=0.033454 t=15370
ce shi mo xing 	测试模型	c=1 d=0.264477 t=15370
ce shi ren yuan 	测试人员	c=3 d=0.879129 t=15370
ce shi yong li 	测试用例	c=2 d=1.12938 t=15370
ce shi zhi xing 	测试执行	c=1 d=0.38868 t=15370
ce su 	测速	c=4 d=0.000547046 t=15370
ceng 	层	c=3 d=1.72311 t=13442
cha bu duo 	差不多	c=3 d=0.986038 t=15370
cha dao 	查到	c=1 d=0.0788664 t=15370
cha jian 	插件	c=5 d=0.264057 t=15370
cha jue dao 	察觉到	c=1 d=1 t=12003
cha kan 	查看	c=12 d=0.737124 t=15370
cha ru 	插入	c=5 d=3.62075 t=15370
cha xu 	插叙	c=1 d=1 t=12377
cha xun 	查询	c=15 d=1.57228 t=15370
cha xun jie guo 	查询结果	c=1 d=0.191092 t=15370
cha zhao 	查找	c=19 d=2.05343 t=15370
chai fen 	拆分	c=3 d=0.474734 t=15370
chan pin 	产品	c=6 d=1.75628 t=15370
chan sheng 	产生	c=1 d=0.481909 t=15370
chan shu 	阐述	c=1 d=0.00201931 t=15370
chang 	厂	c=0 d=0.0377192 t=15370
chang du 	长度	c=15 d=0.774916 t=15370
chang gui 	常规	c=1 d=1 t=14391
chang jian 	常见	c=9 d=0.991592 t=15370
chang jing 	场景	c=11 d=1.95038 t=15370
chang jing fa 	场景法	c=1 d=0.147342 t=15370
chang jiu 	长久	c=1 d=0.256661 t=15370
chang qi 	长期	c=3 d=2.2922e-08 t=15370
chang shi jian 	长时间	c=2 d=0.332404 t=15370
chang yong 	常用	c=1 d=1 t=12237
chao guo 	超过	c=1 d=3.88878e-07 t=15370
che liang 	车辆	c=2 d=0.00850754 t=15370
cheng ben 	成本	c=4 d=1.08779 t=15370
cheng du 	程度	c=1 d=0.000133688 t=15370
cheng du shang 	程度上	c=1 d=0.110803 t=15370
cheng gong 	成功	c=14 d=0.852502 t=15370
cheng gong lv 	成功率	c=1 d=0.00379148 t=15370
cheng guo 	成果	c=1 d=0.0413782 t=15370
cheng nian ren 	成年人	c=1 d=1 t=15243
cheng shui 	盛水	c=1 d=0.637628 t=15370
cheng xian 	呈现	c=5 d=0.599411 t=15370
cheng xu 	程序	c=4 d=0.965605 t=15370
cheng xu yuan 	程序员	c=2 d=0.0202419 t=15370
cheng yuan 	成员	c=4 d=1.54127 t=15370
cheng yuan bian liang 	成员变量	c=1 d=0.23457 t=15370
chi 	池	c=6 d=0.0711085 t=15370
chi jiu xing 	持久性	c=2 d=0.236412 t=15370
chi xu 	持续	c=1 d=0.0485578 t=15370
chi you 	持有	c=2 d=0.0219454 t=15370
chong fu 	重复	c=1 d=0.83527 t=15370
chong fu du 	重复度	c=1 d=0.909373 t=15370
chong he 	重合	c=3 d=2.39579 t=13392
chong pai xu 	重排序	c=10 d=1.25124 t=15370
chong qi 	重启	c=3 d=0.103092 t=15370
chong ru 	重入	c=1 d=0.00199145 t=15370
chong shua 	冲刷	c=1 d=1 t=14853
chong tu 	冲突	c=1 d=2.38196e-05 t=15370
chong xin 	重新	c=21 d=0.810776 t=15370
chong zhi 	重置	c=2 d=0.406569 t=15370
chou li 	抽离	c=2 d=0.97531 t=15370
chou xiang 	抽象	c=1 d=1 t=13465
chu 	出	c=10 d=1.53366 t=15370
chu 	处	c=0 d=0.0546074 t=15370
chu chuang kou 	出窗口	c=2 d=0.183599 t=15370
chu ci 	除此	c=1 d=0.299692 t=15370
chu cuo 	出错	c=1 d=6.94433e-05 t=15370
chu fa 	出发	c=2 d=0.704763 t=15370
chu fa 	触发	c=10 d=1.95888 t=15370
chu fei 	除非	c=1 d=1 t=12000
chu jie 	初阶	c=3 d=1.09764 t=15370
chu jue 	触觉	c=2 d=0.664183 t=15370
chu lai 	出来	c=11 d=0.980199 t=15370
chu le 	除了	c=4 d=1.56933 t=15370
chu li 	处理	c=15 d=0.874383 t=15370
chu qi 	初期	c=1 d=1 t=13927
chu ru 	出入	c=2 d=0.83527 t=15370
chu shi 	初识	c=2 d=0.0724398 t=15370
chu shi hua 	初始化	c=5 d=0.432054 t=15370
chu wai 	除外	c=1 d=0.0010333 t=15370
chu xian 	出现	c=32 d=1.91397 t=15370
chu zhong 	初衷	c=1 d=0.318224 t=15370
chuan gei 	传给	c=1 d=1 t=13366
chuan ru 	传入	c=15 d=5.04514 t=15370
chuan shu 	传输	c=9 d=1.03156 t=14564
chuan shu ceng 	传输层	c=4 d=2.28654 t=13581
chuan xing 	串行	c=1 d=0.218712 t=15370
chuan xing hua 	串行化	c=3 d=1.63286 t=15370
chuan xing zhi xing 	串行执行	c=1 d=1 t=15065
chuang jian 	创建	c=18 d=0.359412 t=15370
chuang kou 	窗口	c=38 d=4.7016 t=15370
chuang ru 	闯入	c=1 d=7.75312e-07 t=15370
chuang yi 	创意	c=1 d=1 t=14335
chun 	纯	c=1 d=1 t=12753
chun bai 	纯白	c=1 d=0.0243554 t=15370
chun cui 	纯粹	c=3 d=0.85986 t=15370
ci 	次	c=4 d=0.138555 t=15370
ci 	词	c=1 d=0.213312 t=15370
ci dian 	词典	c=2 d=0.904837 t=15370
ci shi 	此时	c=20 d=2.95476 t=15370
ci shu 	次数	c=6 d=0.426724 t=15370
